image_pair,distance,word_cosine_sim,response_cosine_sim
120_130,10,0.43355498476206,0.13590591771670013
120_140,20,0.28300447554902386,0.14591156645246275
120_150,30,0.315530098302719,0.21545052241070667
120_160,40,0.27428584482035323,0.18301044496560073
120_170,50,0.15831189671532586,0.08140041175688424
120_180,60,0.20495326552388288,0.16320043678429894
120_190,70,0.14543651725160636,0.032232918561015206
20_120,100,0.037643114225353304,0.01282156657572937
120_200,80,0.013583458898370123,0.0
120_210,90,0.0,0.0
120_220,100,0.0,0.0
120_230,110,0.0041197637926988625,0.0
120_240,120,0.0,0.0
120_250,130,0.003835868668150391,0.0
120_260,140,0.0,0.0
120_270,150,0.0,0.0
120_280,160,0.004147949506521582,0.0
120_290,170,0.0,0.0
30_120,90,0.11985102786859242,0.028715366150263197
120_300,180,0.0,0.0
120_310,170,0.008025012820595175,0.0
120_320,160,0.0,0.0
120_330,150,0.0,0.0
120_340,140,0.0,0.0
120_350,130,0.0,0.0
120_360,120,0.020303072363433147,0.0
40_120,80,0.06480860715458314,0.0316069770620507
50_120,70,0.124090677492717,0.04057389656984896
60_120,60,0.18657235951651874,0.1253609869932224
70_120,50,0.22358891135249803,0.15228622596829317
80_120,40,0.4601950115131127,0.28176640290744415
90_120,30,0.7232695352866259,0.6667214619379273
120_dog,NA,0.0,0.0
120_square,NA,0.0,0.0
120_triangle,NA,0.0,0.0
130_140,10,0.4289522117905444,0.2862991671569341
130_150,20,0.432115884839975,0.26699649569399087
130_160,30,0.5477768923654264,0.22229530961845004
130_170,40,0.28298998804433584,0.12777531299998798
130_180,50,0.2818181818181818,0.17466675292187459
130_190,60,0.23062266407882204,0.12649110640673517
20_130,110,0.02480694691784169,0.0
130_200,70,0.08615864949867531,0.0
130_210,80,0.09548151257129417,0.0
130_220,90,0.103209369308428,0.0
130_230,100,0.08076943748474859,0.0
130_240,110,0.051739647761097844,0.0
130_250,120,0.02211869776019044,0.0
130_260,130,0.02229112850301411,0.0
130_270,140,0.015409964908125424,0.0
130_280,150,0.014350946197048195,0.0
130_290,160,0.026311740579210877,0.0
30_130,100,0.0691094740465088,0.0
130_300,170,0.02515773027133138,0.0
130_310,180,0.004627448133827475,0.0
130_320,170,0.0,0.0
130_330,160,0.02152488010002526,0.0
130_340,150,0.0038152379685825783,0.0
130_350,140,0.0,0.0
130_360,130,0.01873171623163388,0.0
40_130,90,0.016609095970747993,0.0
50_130,80,0.08944271909999159,0.0
60_130,70,0.03442651863295482,0.027330668723026263
70_130,60,0.11345633708846727,0.15936381457791915
80_130,50,0.2857738033247041,0.04095300778893008
90_130,40,0.319448343389801,0.10063092108532551
130_dog,NA,0.20820200290518845,0.01583560008801919
130_square,NA,0.10090767032515187,0.15040748168272533
130_triangle,NA,0.0,0.0
140_150,10,0.6362370636794121,0.5223459747318986
140_160,20,0.6403043401642114,0.41123144681223267
140_170,30,0.46819109191731173,0.3475286741035748
140_180,40,0.4492977712430603,0.33337963927692454
140_190,50,0.3519110342334964,0.10864289525102223
20_140,120,0.02313259727864961,0.0
140_200,60,0.036519706785912105,0.0
140_210,70,0.015712406394845255,0.00996765758414952
140_220,80,0.018332044406773215,0.0
140_230,90,0.0,0.0
140_240,100,0.039475202984086855,0.0
140_250,110,0.033001267221426954,0.0
140_260,120,0.03637652289278589,0.0
140_270,130,0.033529688200496746,0.0
140_280,140,0.026764652663090978,0.0
140_290,150,0.0531609533071195,0.0
30_140,110,0.08861176065957688,0.016131130616527576
140_300,160,0.014075822665457644,0.0
140_310,170,0.004315117634676788,0.0
140_320,180,0.0,0.0
140_330,170,0.013381369460046533,0.0
140_340,160,0.0,0.0
140_350,150,0.0,0.0
140_360,140,0.013100561589443793,0.0
40_140,100,0.06969627833961298,0.0
50_140,90,0.10008691874739589,0.0
60_140,80,0.16854019432007689,0.011737121539866729
70_140,70,0.14427079071863125,0.034219295541457743
80_140,60,0.2188987589427283,0.05276165410143953
90_140,50,0.20686605291346685,0.08643164669089158
140_dog,NA,0.09254788564290356,0.0
140_square,NA,0.18531325856062023,0.12640644655916722
140_triangle,NA,0.0,0.0
