image_pair,distance,word_cosine_sim,lemma_cosine_sim,response_cosine_sim
140_150,10,0.6771884679245586,0.6738792356476516,0.5466900918227576
140_160,20,0.7498300500629377,0.763768926323045,0.5273710125707005
140_170,30,0.6363965047827682,0.6428381557156528,0.4192921601778092
140_180,40,0.4358273598379098,0.4486983939113999,0.3306801645716226
140_190,50,0.3377288000855111,0.33848507300519565,0.11966249049148761
20_140,120,0.029447960049972736,0.02877605502469498,0.0
140_200,60,0.0357526126282454,0.034936856288894175,0.0
140_210,70,0.013131020619572517,0.01283141417055722,0.008584402575341762
140_220,80,0.01493254757017051,0.018239795295196506,0.0
140_230,90,0.0,0.0,0.0
140_240,100,0.03296261047385909,0.032210512753471164,0.0
140_250,110,0.040848185582038746,0.04676591819397448,0.0
140_260,120,0.033249373463021904,0.03702632495090206,0.0
140_270,130,0.026201612635897195,0.02920953306442673,0.0
140_280,140,0.033838651786687164,0.04019876097368211,0.0
140_290,150,0.04874695341061479,0.047634709203953574,0.0
30_140,110,0.07575944433994786,0.07403086445604827,0.014376960117634726
140_300,160,0.011881397771832945,0.01548040477607977,0.0
140_310,170,0.0076020353373261774,0.007414989015651953,0.0
140_320,180,0.0,0.0,0.0
140_330,170,0.011877701353309665,0.014475979597170355,0.0
140_340,160,0.0,0.0,0.0
140_350,150,0.0,0.0,0.0
140_360,140,0.011834342546273389,0.015419096001432183,0.0
40_140,100,0.06523974807328485,0.0630729693840497,0.0
50_140,90,0.09164578621646277,0.08701365405744446,0.0
60_140,80,0.17799870661764738,0.17291117690743268,0.010559715077387793
70_140,70,0.153694655873568,0.15018785229652765,0.035432933563515595
80_140,60,0.21512770461879724,0.2189783355303449,0.054690281762322934
90_140,50,0.20704985219709324,0.20955157596832896,0.08423178786838688
140_dog,NA,0.08844136490555707,0.08727910303080436,0.0
140_square,NA,0.17816546414088175,0.17569027491532174,0.13009872954513846
140_triangle,NA,0.0,0.0,0.0
150_160,10,0.8172505377348204,0.8172505377348204,0.6909178129433516
150_170,20,0.7165199333384963,0.7165199333384963,0.4090479940519309
150_180,30,0.4175631381707135,0.4175631381707135,0.37099111660813466
150_190,40,0.25964135286874945,0.25964135286874945,0.023973165074269207
20_150,130,0.013940978018078365,0.013940978018078365,0.0
150_200,50,0.02256755695554319,0.02256755695554319,0.0
150_210,60,0.0103606084259456,0.0103606084259456,0.0
150_220,70,0.008836533883687865,0.008836533883687865,0.0
150_230,80,0.0032608772705130505,0.0032608772705130505,0.0
150_240,90,0.014448936085981159,0.014448936085981159,0.0
150_250,100,0.01171997953927758,0.014523351699652963,0.0
150_260,110,0.011243291162159212,0.011211213233271875,0.0
150_270,120,0.011813450063397684,0.01179248562795375,0.0
150_280,130,0.008899765701919056,0.011802953881793168,0.0
150_290,140,0.017751790062418157,0.017751790062418157,0.0
30_150,120,0.03803898431740567,0.03803898431740567,0.0
150_300,150,0.006249755873679183,0.006249755873679183,0.0
150_310,160,0.0,0.0,0.0
150_320,170,0.0,0.0,0.0
150_330,180,0.00468585863533477,0.004675399116409215,0.0
150_340,170,0.0025005001500500172,0.0024878393084438837,0.0
150_350,160,0.0,0.0,0.0
150_360,150,0.012450008536040029,0.012450008536040029,0.0
40_150,110,0.02059012785608277,0.020371077711738027,0.0
50_150,100,0.024103384202072906,0.023419460640809617,0.0
60_150,90,0.016205093088804107,0.01610948698544606,0.0
70_150,80,0.053896805563629545,0.053896805563629545,0.0
80_150,70,0.13437716654683438,0.13437716654683438,0.0
90_150,60,0.1458625087529177,0.1458625087529177,0.09843740386976972
150_dog,NA,0.0,0.0,0.0
150_square,NA,0.06996690825445757,0.06996690825445757,0.0
150_triangle,NA,0.0,0.0,0.0
160_170,10,0.7386391172878307,0.7386391172878307,0.4179570038185724
160_180,20,0.4647749768357825,0.4647749768357825,0.37907125275171766
160_190,30,0.3773825412198906,0.3773825412198906,0.06998656386948178
20_160,140,0.02376510678417246,0.02376510678417246,0.012148238268746562
160_200,40,0.04039432672667824,0.04039432672667824,0.010118058231454412
160_210,50,0.014129336709220832,0.014129336709220832,0.007029019463944165
160_220,60,0.018076307508022055,0.018076307508022055,0.005189224244052522
160_230,70,0.0,0.0,0.0
160_240,80,0.02364577924256871,0.02364577924256871,0.009349469900084572
160_250,90,0.032965322237923346,0.04159323154937354,0.0
