image,number_responses,avg_words_per_response,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
VCS_290,25,2.32,0.6206896551724138,0.5344827586206896,0.04476709013914096,0.4,star,0.08,pentagon
VCS_30,25,2.0,0.64,0.58,0.04653061224489796,0.32,star,0.08,"four.point,x"
VCS_300,25,2.24,0.625,0.5357142857142857,0.04220779220779221,0.36,star,0.08,"pentagon,star"
VCS_310,25,2.24,0.5714285714285714,0.48214285714285715,0.05909090909090909,0.48,star,0.12,star
VCS_320,25,2.2,0.6,0.509090909090909,0.059932659932659935,0.48,star,0.12,star
VCS_330,25,1.88,0.5531914893617021,0.46808510638297873,0.08880666049953746,0.48,star,0.12,star
VCS_340,25,1.92,0.5208333333333334,0.4375,0.09663120567375887,0.48,star,0.08,"four.points,point.stars,four.point,star"
VCS_350,25,1.88,0.5319148936170213,0.46808510638297873,0.0851063829787234,0.48,star,0.08,"four.points,star,four.point,x"
VCS_360,25,1.92,0.5208333333333334,0.4583333333333333,0.08244680851063829,0.48,star,0.08,"four.points,four.point,x"
VCS_40,25,1.84,0.6956521739130435,0.5869565217391305,0.04057971014492753,0.24,star,0.08,four.point
VCS_50,25,1.88,0.723404255319149,0.6170212765957447,0.036077705827937095,0.24,star,0.08,four.point
VCS_60,25,1.88,0.723404255319149,0.6170212765957447,0.03515263644773358,0.24,star,0.08,four.point
VCS_70,25,1.64,0.7804878048780488,0.7073170731707317,0.020731707317073172,0.16,round,0.08,blob
VCS_80,25,2.0,0.84,0.76,0.013061224489795919,0.12,"flat,shape,bottom,round",0.08,blob
VCS_90,25,1.76,0.9090909090909091,0.7954545454545454,0.010570824524312896,0.12,bottom,0.08,blob
